央视频道,#genre#
严选购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226190/index.m3u8?
家有购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225971/index.m3u8?
环球购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225972/index.m3u8?
中视购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225976/index.m3u8?
央广购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225974/index.m3u8?
风尚购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225970/index.m3u8?
好享购物,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225973/index.m3u8?
快乐购,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225975/index.m3u8?

轮播,#genre#
精品综合,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225716/index.m3u8?
精品大剧,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225714/index.m3u8?
古装剧场,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225678/index.m3u8?
家庭剧场,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225713/index.m3u8?
热播精选,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225712/index.m3u8?
军旅剧场,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225669/index.m3u8?
金牌综艺,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225711/index.m3u8?
军事评论,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225757/index.m3u8?
精品体育,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225709/index.m3u8?
怡伴健康,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225666/index.m3u8?
潮妈辣婆,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225708/index.m3u8?
农业致富,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225670/index.m3u8?
中国功夫,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225660/index.m3u8?
哒啵赛事,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225653/index.m3u8?
哒啵电竞,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226265/index.m3u8?
欢乐剧场,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226210/index.m3u8?
东北热剧,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221226202/index.m3u8?
炫舞未来,http://zxrr.jx.chinamobile.com:8080/TVOD/88888910/224/3221225707/index.m3u8?
黑莓电影,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225769/index.m3u8?
黑莓动画,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225672/index.m3u8?

其他,#genre#
CNC中文,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226297/index.m3u8?
CNC英文,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226298/index.m3u8?
CCTV4K,http://zxrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225786/index.m3u8?
江西汽摩,http://zxrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225506/10000100000000060000000000000104_0.smil/index.m3u8?
